Date,Open,High,Low,Close*,Adj Close**,Volume
7/1/22,3781,3830,3752,3825,3825,3268240000
6/1/22,4150,4178,3637,3785,3785,86799060000
5/1/22,4131,4308,3810,4132,4132,89128130000
4/1/22,4540,4593,4124,4132,4132,74784850000
3/1/22,4363,4637,4158,4530,4530,100978320000
2/1/22,4520,4595,4115,4374,4374,73167790000
1/1/22,4778,4819,4223,4516,4516,73279440000
12/1/21,4603,4809,4495,4766,4766,68699830000
11/1/21,4611,4744,4560,4567,4567,67520800000
10/1/21,4317,4608,4279,4605,4605,61874700000
9/1/21,4529,4546,4306,4308,4308,66268850000
8/1/21,4407,4537,4368,4523,4523,63217960000
7/1/21,4301,4430,4233,4395,4395,66496430000
6/1/21,4217,4302,4164,4298,4298,85705180000
5/1/21,4192,4238,4057,4204,4204,75155370000
4/1/21,3993,4219,3993,4181,4181,82869290000
3/1/21,3843,3994,3723,3973,3973,120863560000
2/1/21,3731,3950,3726,3811,3811,98596960000
1/1/21,3765,3871,3663,3714,3714,105548790000
12/1/20,3646,3760,3633,3756,3756,96056410000
11/1/20,3296,3646,3280,3622,3622,100977880000
10/1/20,3386,3550,3234,3270,3270,89737600000
9/1/20,3507,3588,3209,3363,3363,92084120000
8/1/20,3288,3515,3285,3500,3500,84402300000
7/1/20,3106,3280,3101,3271,3271,97197020000
6/1/20,3039,3233,2966,3100,3100,131044000000
5/1/20,2869,3069,2767,3044,3044,106799100000
4/1/20,2498,2955,2447,2912,2912,123163450000
3/1/20,2974,3137,2192,2585,2585,161801100000
2/1/20,3236,3394,2856,2954,2954,84292270000
1/1/20,3245,3338,3215,3226,3226,77104420000
12/1/19,3144,3248,3070,3231,3231,72054000000
11/1/19,3051,3154,3051,3141,3141,72179920000
10/1/19,2984,3050,2856,3038,3038,77564550000
9/1/19,2909,3022,2892,2977,2977,73992330000
8/1/19,2980,3014,2822,2926,2926,79599440000
7/1/19,2971,3028,2952,2980,2980,70349470000
6/1/19,2752,2964,2729,2942,2942,70904280000
5/1/19,2952,2954,2751,2752,2752,76860120000
4/1/19,2849,2950,2849,2946,2946,69604840000
3/1/19,2798,2860,2722,2834,2834,78596280000
